CITY,STATE,IBGE_ID,CAPITAL,IBGE_RES_POP_ESTR_PERC,IBGE_DU_RATE,IBGE_DU_RURAL_PERC,IBGE_POP_UP_PERC,IBGE_0-14_PERC,IBGE_15-59_PERC,IBGE_60+_PERC,IBGE_PLANTED_AREA,IBGE_CROP_PRODUCTION_$,IDHM Ranking 2010,IDHM,IDHM_Renda,IDHM_Longevidade,IDHM_Educacao,LONG,LAT,ALT,PAY_TV,FIXED_PHONES,AREA,REGIAO_TUR,CATEGORIA_TUR,RURAL_URBAN,GVA_AGROPEC,GVA_INDUSTRY,GVA_SERVICES,GVA_PUBLIC,GVA_TOTAL,TAXES,GDP,POP_GDP,GDP_CAPITA,GVA_MAIN,MUN_EXPENDIT,COMP_TOT,COMP_A,COMP_B,COMP_C,COMP_D,COMP_E,COMP_F,COMP_G,COMP_H,COMP_I,COMP_J,COMP_K,COMP_L,COMP_M,COMP_N,COMP_O,COMP_P,COMP_Q,COMP_R,COMP_S,COMP_T,COMP_U,HOTELS,BEDS,Pr_Agencies,Pu_Agencies,Pr_Bank,Pu_Bank,Pr_Assets,Pu_Assets,CARS_RATE,MOTORCYCLES_RATE,UBER,MCDONALDS,WALMART,POST_OFFICES_RATE,IBGE_POP_10+_2010,IBGE_EDU_0_PERC,IBGE_EDU_1_PERC,IBGE_EDU_2_PERC,IBGE_EDU_3_PERC,IBGE_EDU_NA_PERC,IBGE_ESTIMATED_POP_2017,HOMICIDES,HIDDEN_HOMICIDES,GINI_INDEX_2000,GINI_INDEX_2010,ILLITERACY_RATE_10+_2010,UNEMPLOYMENT_RATE_10+_2010
Abadia De Goiás,GO,5200050,0,0,0.310791158,0.27655592,0.770796975,0.253207547,0.668301887,0.078490566,319,1843,1689,0.708,0.687,0.83,0.622,-49.44054783,-16.75881189,893.6,360,842,147.26,Sem Região,Z,Urbano,6.2,27991.25,74750.32,36915.04,145857.6,20554.2,166.41,8053,20664.57,Demais serviços,28227691,284,5,1,56,0,2,29,110,26,4,5,0,2,10,12,4,6,6,1,5,0,0,0,0,0,0,0,0,0,0,0.25142724,0.145170686,0,0,0,11.6509379,0.844240838,0.557105943,0.196210164,0.190008613,0.056503015,0,8207,4,0,0.5005,0.4258,0.070332701,0.325116359
Abadia Dos Dourados,MG,3100104,0,0,0.34725537,0.363831615,0.619630072,0.206066442,0.652142513,0.141791045,4479,18017,2207,0.69,0.693,0.839,0.563,-47.39683244,-18.48756496,753.12,77,296,881.06,Caminhos Do Cerrado,D,Rural Adjacente,50524.57,25917.7,62689.23,28083.79,167215.28,12873.5,180.09,7037,25591.7,Demais serviços,17909274,476,6,6,30,1,2,34,190,70,28,11,0,4,15,29,2,9,14,6,19,0,0,0,0,0,0,0,0,0,0,0.319420539,0.163798049,0,0,0,14.34308663,0.877983294,0.628100578,0.200135916,0.120625212,0.048589874,0.00254842,7059,2,1,0.511,0.4738,0.083573487,0.345821326
Abadiânia,GO,5200100,0,0.009392651,0.295424256,0.305477981,0.676270864,0.259947447,0.647147147,0.092905405,10307,33085,2202,0.69,0.671,0.841,0.579,-48.71881214,-16.18267186,1017.55,227,720,1045.13,Região Turística Do Ouro E Cristais,C,Rural Adjacente,42.84,16728.3,138198.58,63396.2,261161.91,26822.58,287984.49,18427,15628.4,Demais serviços,37513019,288,5,9,26,0,2,7,117,12,57,2,1,0,7,15,3,11,5,1,8,0,0,9,408,1,1,1,1,33724584,67091904,0.144692567,0.072703171,0,0,0,15.29519731,0.856190899,0.590615966,0.173078349,0.194648284,0.035134534,0.006522867,18775,8,0,0.5493,0.4427,0.098286477,0.382760923
Abaeté,MG,3100203,0,0,0.339092111,0.133480634,0.813750551,0.20602253,0.648775997,0.145201473,1862,7502,1994,0.698,0.72,0.848,0.556,-45.44619142,-19.15584769,644.74,1230,1716,1817.07,Lago De Três Marias,D,Urbano,113824.6,31002.62,172.33,86081.41,403241.27,26994.09,430235.36,23574,18250.42,Demais serviços,,621,18,1,40,0,1,20,303,62,30,9,6,4,28,27,2,15,19,9,27,0,0,0,0,2,2,2,2,44974716,371922572,0.298324936,0.127158421,0,0,0,17.22430349,0.873997356,0.661338309,0.143865665,0.139176038,0.051182492,0.004387071,23611,3,0,0.5862,0.551,0.080375151,0.327904397
Abaetetuba,PA,1500107,0,0.00042523,0.220134656,0.386465342,0.587923459,0.282607647,0.645113072,0.072279281,25200,700872,3530,0.628,0.579,0.798,0.537,-48.88440382,-1.723469863,10.12,3389,1218,1610.65,Araguaia-Tocantins,D,Urbano,140463.72,58610,468128.69,486872.4,1154074.81,95180.48,1249255.29,151934,8222.36,"Administração, defesa, educação e saúde públicas e seguridade social",,931,4,2,43,0,1,27,500,16,31,6,1,1,22,16,2,155,33,15,56,0,0,3,144,2,4,2,4,76181384,800078483,0.033763724,0.164186267,0,0,0,1.279656028,0.80734231,0.626830296,0.155939464,0.182292215,0.029267179,0.005662067,153380,95,1,0.5865,0.5389,0.127094935,0.490646788
Abaiara,CE,2300101,0,0,0.265910823,0.551773558,0.432355183,0.291978845,0.579770824,0.128250331,2598,5234,3522,0.628,0.54,0.748,0.612,-39.04754664,-7.356976596,403.11,29,34,180.08,Sem Região,Z,Rural Adjacente,4435.16,5.88,22.81,35989.96,69108.67,4042.79,73151.46,11483,6370.41,"Administração, defesa, educação e saúde públicas e seguridade social",,86,1,0,4,0,0,6,48,2,10,2,0,0,2,3,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0.047414902,0.143530824,0,0,0,8.574123296,0.823075457,0.62183123,0.146892001,0.205695104,0.019215187,0.006482232,11605,4,0,0.608,0.488,0.263468208,0.389942197
Abaíra,BA,2900108,0,0,0.309283309,0.536158631,0.447931698,0.196778523,0.622550336,0.180671141,895,3999,4086,0.603,0.577,0.746,0.51,-41.66160848,-13.25353189,674.22,952,335,538.68,Chapada Diamantina,D,Rural Remoto,12.41,3437.43,17990.74,28463.74,62304.83,2019.77,64324.59,9212,6982.7,"Administração, defesa, educação e saúde públicas e seguridade social",,191,6,0,8,0,1,4,97,5,5,3,1,0,5,5,2,8,1,2,38,0,0,1,50,0,0,0,0,0,0,0.102201437,0.079388616,0,0,0,11.4064104,0.881553632,0.712181149,0.124130405,0.137634702,0.02073387,0.005319875,9199,0,1,0.54,0.4742,0.181259391,0.392022948
Abaré,BA,2900207,0,0,0.253867792,0.450831025,0.527074543,0.311874583,0.598843674,0.089281743,2058,22761,4756,0.575,0.533,0.776,0.46,-39.11658794,-8.723418246,316.38,51,222,1604.92,Sem Região,Z,Rural Remoto,9176.4,6.7,36921.84,65.75,118.55,6.21,124754.26,19939,6256.8,"Administração, defesa, educação e saúde públicas e seguridade social",,87,2,0,3,0,0,0,71,0,1,1,0,0,0,1,2,0,2,0,4,0,0,0,0,1,0,1,0,21823314,0,0.030937721,0.077319067,0,0,0,5.04693651,0.79717534,0.712416379,0.143277218,0.121664339,0.020363155,0.002205396,20189,3,0,0.5528,0.5621,0.243794977,0.530474372
Abatiá,PR,4100103,0,0,0.32187017,0.24889956,0.732225657,0.21530343,0.642040457,0.142656113,1197,9943,2258,0.687,0.676,0.804,0.596,-50.31252658,-23.30049404,579.3,55,392,228.72,Sem Região,Z,Rural Adjacente,73340.52,8839.71,42999.37,34103.49,159283.08,5.77,165048.21,7795,21173.6,"Agricultura, inclusive apoio à agricultura e a pós colheita",,285,5,0,20,0,1,10,133,18,14,8,0,4,11,26,2,8,9,4,12,0,0,0,0,0,1,0,1,0,45976288,0.288797123,0.121486612,0,0,0,13.32090049,0.87184441,0.635396661,0.142118481,0.182892599,0.039739991,0,7768,0,1,0.438,0.4424,0.152270047,0.300560142
Abdon Batista,SC,4200051,0,0,0.319638145,0.724056604,0.272898605,0.215469613,0.66160221,0.122928177,5502,26195,2092,0.69,0.66,0.812,0.625,-51.02527221,-27.60898712,720.98,109,260,237.16,Vale Do Contestado,D,Rural Adjacente,24996.75,3578.87,16011.1,17842.64,62429.36,2312.65,64742.01,2617,24739.02,"Administração, defesa, educação e saúde públicas e seguridade social",19506956,69,2,0,4,0,0,2,35,8,3,1,1,0,4,0,2,1,3,0,3,0,0,1,44,0,1,0,1,0,42909056,0.378734963,0.133876601,0,0,0,38.8048118,0.86618922,0.632724108,0.130113142,0.185813751,0.05178416,0,2604,0,0,0.559,0.4597,0.088811493,0.329995646
